year,month,monthly_revenue,order_volume
2014,1,14236.895,32
2014,2,4519.892,28
2014,3,55691.009,71
2014,4,28295.345,66
2014,5,23648.287,69
2014,6,34595.1276,66
2014,7,33946.393,65
2014,8,27909.4685,72
2014,9,81777.3508,130
2014,10,31453.393,78
2014,11,78628.7167,151
2014,12,69545.6205,141
2015,1,18174.0756,29
2015,2,11951.411,36
2015,3,38726.252,79
2015,4,34195.2085,72
2015,5,30131.6865,74
2015,6,24797.292,68
2015,7,28765.325,66
2015,8,36898.3322,68
2015,9,64595.918,140
2015,10,31404.9235,87
2015,11,75972.5635,158
2015,12,74919.5212,161
2016,1,18542.491,48
2016,2,22978.815,45
2016,3,51715.875,86
2016,4,38750.039,89
2016,5,56987.728,108
2016,6,40344.534,97
2016,7,39261.963,96
2016,8,31115.3743,90
2016,9,73410.0249,192
2016,10,59687.745,105
2016,11,79411.9658,183
2016,12,96999.043,176
2017,1,43971.374,69
2017,2,20301.1334,53
2017,3,58872.3528,118
2017,4,36521.5361,116
2017,5,44261.1102,118
2017,6,52981.7257,133
2017,7,45264.416,111
2017,8,63120.888,111
2017,9,87866.652,226
2017,10,77776.9232,147
2017,11,118447.825,261
2017,12,83829.3188,224
